CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;UTM;GEOGRAFICAS
93709;Fullcarga;ERBI - PORTUGAL;PORTUGAL 472;SANTIAGO;;348067:6297894;-33.4479135750826:-70.6352191908837
93715;Fullcarga;CONFITERIA LOS PEQUES SAN;CALLE COMPANIA DE JESUS  1089;SANTIAGO;;346471:6298901;-33.43848368:-70.65238425
93718;Fullcarga;ITALMARKET SANTIAGO;AVDA VICUNA MACKENNA 299;SANTIAGO;;348252:6298185;-33.4452993:-70.6331597
93720;Fullcarga;TELCOM;CALLE MONEDA  1025 LOCAL 127;SANTIAGO;;346603:6298532;-33.44182634:-70.65101697
93722;Fullcarga;DUCAL SANTIAGO;CALLE ROSAS 1472;SANTIAGO;;345934:6299177;-33.43590802:-70.65809534
93725;Fullcarga;SANTA TERESITA SANTIAGO;CALLE LIBERTAD   1399;SANTIAGO;;344341:6299895;-33.42920522:-70.67510834
93728;Fullcarga;DULCES TENTACIONES SANTIA;CALLE VICTORIA  765;SANTIAGO;;347217:6296162;-33.46310314594464:-70.64406463625706
93729;Fullcarga;JEAN PAUL SANTIAGO;AVENIDA CLUB HIPICO 762;SANTIAGO;;345278:6296796;-33.456992661461065:-70.66480647190735
93730;Fullcarga;PROMARKET;PEDRO LAGOS 667;SANTIAGO;;347493:6295964;-33.46509972:-70.64167659
93731;Fullcarga;BOTILLERIA DON CESAR SANT;CALLE NUBLE  1066;SANTIAGO;;346853:6295406;-33.4697559090909:-70.64809484848485
93733;Fullcarga;BRAVO Y JARA LIMITADA SAN;CALLE MARCOLETA  556;SANTIAGO;;347272:6298330;-33.44374179:-70.64385126
93734;Fullcarga;AYLINE;CALLE SAN PABLO  2223;SANTIAGO;;345035:6299293;-33.43473821:-70.66775177
93737;Fullcarga;RED SERVICE;NATANIEL COX 810;SANTIAGO;;346503:6296968;-33.45602603:-70.65216904
